"Term","NObs","FreqObs","Obs.Exp","pValue","PMI_Term","PMI","NPMI","Stopword"
"brick",16,8.18196694485354e-05,8,0.00131194548176625,"brick",7.76505329172715,0.453940035276077,FALSE
"legged",6,3.06823760432008e-05,Inf,0.0312488014758149,"legged",8.2852975680348,0.45384450925134,FALSE
"garon",8,4.09098347242677e-05,8,0.039060342659225,"garon",8.09979860638502,0.453761550130021,FALSE
"gale",24,0.000122729504172803,8,4.92066956776207e-05,"gale",7.64497104088167,0.453708352577692,FALSE
"petit",33,0.000168753068237604,5.5,1.42862464642133e-05,"petit",7.4330970689063,0.453567812977894,FALSE
"diverted",13,6.6478481426935e-05,6.5,0.00738418884419522,"diverted",7.82177048292954,0.45346220989842,FALSE
"statue",16,8.18196694485354e-05,5.33333333333333,0.00442414155426116,"statue",7.68165170602348,0.453433063970533,FALSE
"talking",23,0.00011761577483227,5.75,0.00031061042462072,"talking",7.58525783133318,0.453352798597435,FALSE
"que",391,0.00199946817214858,1.60905349794239,4.39152202566394e-09,"que",6.28224827785974,0.453262746808615,TRUE
"anybody",22,0.000112502045491736,7.33333333333333,0.000156452404850318,"anybody",7.62771406991512,0.45311446509414,FALSE
"seen",128,0.000654557355588283,2.78260869565217,3.86434654985545e-10,"seen",6.798606500296,0.45304862827706,FALSE
"semble",17,8.69333987890689e-05,8.5,0.000728408718173457,"semble",7.7212291274473,0.452879113238819,FALSE
