"Year","sublime_raw_freq","sublime_raw_prob","sublime_smoothed_avg_3","sublime_smoothed_avg_5","sublime_smoothed_avg_7","sublime_smoothed_avg_9","sublime_smoothed_avg_11","grotesque_raw_freq","grotesque_raw_prob","grotesque_smoothed_avg_3","grotesque_smoothed_avg_5","grotesque_smoothed_avg_7","grotesque_smoothed_avg_9","grotesque_smoothed_avg_11","beautiful_raw_freq","beautiful_raw_prob","beautiful_smoothed_avg_3","beautiful_smoothed_avg_5","beautiful_smoothed_avg_7","beautiful_smoothed_avg_9","beautiful_smoothed_avg_11","picturesque_raw_freq","picturesque_raw_prob","picturesque_smoothed_avg_3","picturesque_smoothed_avg_5","picturesque_smoothed_avg_7","picturesque_smoothed_avg_9","picturesque_smoothed_avg_11","arabesque_raw_freq","arabesque_raw_prob","arabesque_smoothed_avg_3","arabesque_smoothed_avg_5","arabesque_smoothed_avg_7","arabesque_smoothed_avg_9","arabesque_smoothed_avg_11","aesthetic_raw_freq","aesthetic_raw_prob","aesthetic_smoothed_avg_3","aesthetic_smoothed_avg_5","aesthetic_smoothed_avg_7","aesthetic_smoothed_avg_9","aesthetic_smoothed_avg_11"
1703,0,0,73.7218474694976,102.16214541146,155.097038292761,137.568699159953,123.4269256807,0,0,0,0,0,0,0,0,0,93.2138849721777,142.821886377948,236.96214251559,256.279908426298,228.707316674628,0,0,0,0,0,19.0503405248369,15.5866422475938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1704,2,221.165542408493,73.7218474694976,150.786118604235,149.082253952854,120.631029783259,117.40107575113,0,0,0,0,0,0,0,2,221.165542408493,73.7218474694976,126.963671064997,201.741751677894,222.40456967291,253.287367567486,0,0,0,0,24.4932949605046,19.0503405248369,15.5866422475938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705,0,0,251.310197673724,150.786118604235,107.704370431596,121.874368721426,109.400527142082,0,0,0,0,0,0,0,0,0,192.114080938982,183.849674452802,139.674926396007,210.203792127881,333.935754885474,0,0,0,34.2906129447064,24.4932949605046,19.0503405248369,15.5866422475938,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92877225866917
1706,3,532.76505061268,177.588350204227,150.786118604235,115.317733406289,96.8507915038607,116.223641917986,0,0,0,0,0,0,0,2,355.176700408453,232.694276618506,183.849674452802,199.841462809954,294.37518460623,338.928370859811,0,0,57.1510215745107,34.2906129447064,24.4932949605046,19.0503405248369,15.5866422475938,0,0,0,0,0,0,0,0,0,0,0,0,3.57961053837343,2.92877225866917
1707,0,0,177.588350204227,117.211718287106,124.52244621925,109.86831960545,200.288728808414,0,0,0,0,0,0,0,4,342.906129447064,232.694276618506,235.544939452238,370.128649849719,359.474243330742,491.425156422485,2,171.453064723532,57.1510215745107,34.2906129447064,24.4932949605046,19.0503405248369,15.5866422475938,0,0,0,0,0,0,0,0,0,0,0,4.60235640648012,3.57961053837343,2.92877225866917
1708,0,0,17.7645136076174,130.098316225251,109.664190577222,244.797335210283,208.406481684534,0,0,0,0,0,0,0,0,0,274.182665617578,473.947001307908,430.58609250974,594.133400904366,508.838854247617,0,0,57.1510215745107,34.2906129447064,24.4932949605046,19.0503405248369,15.5866422475938,0,0,0,0,0,0,0,0,0,0,6.44329896907217,4.60235640648012,3.57961053837343,2.92877225866917
1709,1,53.2935408228523,39.242176837858,46.9768566855746,283.144353497723,230.145084013486,217.506490784543,0,0,0,0,0,0,0,9,479.64186740567,557.217392228007,531.785189431946,732.290723675829,597.340206035033,527.038872447635,0,0,0,34.2906129447064,24.4932949605046,19.0503405248369,15.5866422475938,0,0,0,0,0,0,0,0,0,10.7388316151203,6.44329896907217,4.60235640648012,3.57961053837343,2.92877225866917
1710,2,64.4329896907217,78.2947611426243,289.849084774276,219.791529358385,241.267317357942,228.782160881079,0,0,0,0,0,0,3.48684761081202,37,1192.01030927835,772.006605904222,885.590447175057,717.269307700977,619.584672723944,635.946275646908,0,0,0,0,24.4932949605046,19.0503405248369,15.5866422475938,0,0,0,0,0,0,0,1,32.2164948453608,10.7388316151203,6.44329896907217,4.60235640648012,3.57961053837343,2.92877225866917
1711,2,117.157752914299,465.317294349509,307.708141101739,234.0915436584,220.426524342132,228.782160881079,0,0,0,0,0,4.26170263543691,3.48684761081202,11,644.367641028645,1316.10345615654,935.595804891955,696.882746379997,737.803592411948,729.705651584501,0,0,0,0,0,19.0503405248369,15.5866422475938,0,0,0,0,0,0,0,0,0,10.7388316151203,6.44329896907217,4.60235640648012,3.57961053837343,12.3047098524285
1712,46,1214.36114044351,473.604724998374,317.069452957189,283.405531297027,220.426524342132,200.278622803099,0,0,0,0,5.47933195984746,4.26170263543691,3.48684761081202,80,2111.93241816262,1002.10894925858,879.707471450861,899.618028894352,814.297704174889,826.959574857086,0,0,0,0,0,0,15.5866422475938,0,0,0,0,0,0,0,0,0,0,6.44329896907217,4.60235640648012,15.0390898196349,12.3047098524285
1713,5,89.2952816373183,467.918840726975,373.222437713123,275.792168322334,244.78498342601,216.196866702432,0,0,0,7.67106474378644,5.47933195984746,4.26170263543691,19.405091510145,14,250.026788584491,854.053135649103,925.134805115289,978.433924309761,972.627688220098,843.541022059898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3359726252449,15.0390898196349,12.3047098524285
1714,3,100.1001001001,178.197765069269,349.790887130263,297.905474331503,258.319110322656,223.550781191115,0,0,12.7851079063107,7.67106474378644,5.47933195984746,23.7173340679551,19.405091510145,6,200.2002002002,623.124655461727,1002.53190397227,1011.71385961384,977.7010416948,891.341466236333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6270627062706,14.7336162187647,15.0390898196349,12.3047098524285
