"Term","NObs","FreqObs","Obs.Exp","pValue","PMI_Term","PMI","NPMI","Stopword"
"my",11,0.00112832085342086,0.333333333333333,0.00124460071647236,"my",4.66573172122639,0.267093305787956,TRUE
"me",9,0.000923171607344343,0.36,0.00898256008675155,"me",4.72479784245752,0.266995191451477,TRUE
"had",11,0.00112832085342086,0.323529411764706,0.0008130643718062,"had",4.65220418966625,0.266409962163313,TRUE
"her",9,0.000923171607344343,0.310344827586207,0.00164134708551927,"her",4.59959231491963,0.260247948416954,TRUE
"for",19,0.00194891783772695,0.253333333333333,4.44657189756101e-09,"for",4.38635633708406,0.258864053410323,TRUE
"so",9,0.000923171607344343,0.290322580645161,0.000671279183724871,"so",4.56116018010569,0.258497403373742,TRUE
"you",11,0.00112832085342086,0.297297297297297,0.000218460171558684,"you",4.5034187344141,0.256705766945613,TRUE
"they",11,0.00112832085342086,0.234042553191489,1.96583976322889e-06,"they",4.37993546728043,0.251406114817406,TRUE
"no",7,0.000718022361267822,0.28,0.00208536221290382,"no",4.44277682440175,0.247076662992425,TRUE
"them",8,0.000820596984306083,0.258064516129032,0.000290180896361375,"them",4.35554462215261,0.244122877179224,TRUE
"will",6,0.000615447738229562,0.24,0.000870020904884074,"will",4.37333545312579,0.242237171228585,TRUE
"he",15,0.0015386193455739,0.192307692307692,1.75238155907767e-11,"he",4.14285465753805,0.241709590950452,TRUE
"your",5,0.000512873115191302,0.277777777777778,0.0105776307322968,"your",4.42569484788499,0.241150301602475,TRUE
"be",17,0.00174376859165043,0.207317073170732,1.95734437839037e-11,"be",4.12700975761174,0.24114437511702,TRUE
"if",6,0.000615447738229562,0.230769230769231,0.000529725338638543,"if",4.19195434436963,0.230427299620704,TRUE
"who",5,0.000512873115191302,0.192307692307692,0.000190093388913453,"who",4.12209365374997,0.225632600008511,TRUE
