Term,NObs,FreqObs,Obs.Exp,pValue,PMI_Term,PMI,NPMI,Stopword
essayed,13,3.49E-06,3.25,0.049041494,essayed,6.725913096,0.382678061,FALSE
middle,250,6.72E-05,0.73964497,0.000325582,middle,5.49931982,0.382646451,FALSE
avoid,190,5.11E-05,0.769230769,0.007316267,avoid,5.584445382,0.382530954,FALSE
froward,24,6.45E-06,2.181818182,0.040959122,froward,6.456774417,0.382523258,FALSE
wind,256,6.88E-05,0.735632184,0.000207723,wind,5.489917581,0.382505863,FALSE
advanced,199,5.35E-05,0.780392157,0.00976467,advanced,5.575171856,0.382476392,FALSE
meant,175,4.70E-05,0.802752294,0.033985109,meant,5.618120258,0.382416481,FALSE
honourable,187,5.03E-05,0.73046875,0.001209382,honourable,5.572455689,0.382333573,FALSE
pa,244,6.56E-05,0.685393258,5.51E-06,pa,5.480314052,0.382229734,FALSE
sobriety,40,1.08E-05,2,0.013488922,sobriety,6.271515371,0.382160775,FALSE
left,705,0.000189492,0.482546201,2.04E-60,left,5.088704695,0.382096955,FALSE
ot,479,0.000128747,0.521218716,2.38E-32,ot,5.214055465,0.381801879,FALSE
winter,182,4.89E-05,0.771186441,0.009449186,winter,5.58811965,0.381694959,FALSE
jesus,387,0.000104019,0.63029316,7.29E-13,jesus,5.323891614,0.381641935,FALSE
chap,281,7.55E-05,0.659624413,5.50E-08,chap,5.424211031,0.381619073,FALSE
begin,211,5.67E-05,0.717687075,0.00025562,begin,5.524796422,0.381426618,FALSE
j,1094,0.000294048,0.395231214,4.80E-165,j,4.899459034,0.380752934,TRUE
tells,174,4.68E-05,0.776785714,0.013939638,tells,5.591072548,0.380585033,FALSE
files,40,1.08E-05,1.818181818,0.030015184,files,6.22934647,0.380489398,FALSE
father,778,0.000209113,0.478474785,2.68E-68,father,5.043174974,0.380444147,FALSE
sacked,13,3.49E-06,3.25,0.049041494,sacked,6.692597316,0.380345334,FALSE
names,266,7.15E-05,0.73480663,0.000145954,names,5.453346902,0.380077068,FALSE
gilding,19,5.11E-06,2.714285714,0.028958999,gilding,6.525206301,0.379927024,FALSE
tome,186,5.00E-05,0.788135593,0.016960212,tome,5.567350569,0.37973826,FALSE
nd,323,8.68E-05,0.598148148,1.45E-13,nd,5.338657089,0.379635955,FALSE
lay,522,0.000140305,0.550052687,4.69E-29,lay,5.182836369,0.379548929,FALSE
cast,254,6.83E-05,0.709497207,3.01E-05,cast,5.450730855,0.379493293,FALSE
interwoven,25,6.72E-06,2.083333333,0.047030484,interwoven,6.379142947,0.379440124,FALSE
commonly,204,5.48E-05,0.728571429,0.000636672,commonly,5.517308199,0.379432402,FALSE
ho,246,6.61E-05,0.694915254,1.19E-05,ho,5.452360418,0.379364692,FALSE
ac,482,0.000129553,0.51827957,3.59E-33,ac,5.185734547,0.379294636,FALSE
motion,297,7.98E-05,0.645652174,3.41E-09,motion,5.379033991,0.379242251,FALSE
giving,280,7.53E-05,0.64516129,9.04E-09,giving,5.394275882,0.379202987,FALSE
ive,159,4.27E-05,0.807106599,0.049721399,ive,5.609315615,0.379008117,FALSE
tell,528,0.000141917,0.532795156,6.57E-33,tell,5.164746776,0.378934008,FALSE
mentioned,416,0.000111814,0.619970194,9.96E-15,mentioned,5.271518792,0.378900179,FALSE
knowing,172,4.62E-05,0.761061947,0.007811481,knowing,5.57008326,0.378886024,FALSE
away,651,0.000174978,0.483655275,1.64E-55,away,5.078940331,0.378761318,FALSE
although,255,6.85E-05,0.650510204,8.04E-08,although,5.417321723,0.378686039,FALSE
thin,152,4.09E-05,0.737864078,0.005020694,thin,5.592163329,0.378592517,FALSE
boundaries,36,9.68E-06,1.8,0.044045755,boundaries,6.22974746,0.378585768,FALSE
ready,324,8.71E-05,0.569420035,2.09E-16,ready,5.313364134,0.378544529,FALSE
thousand,452,0.00012149,0.564294632,4.32E-23,thousand,5.218046019,0.378421152,FALSE
fathers,323,8.68E-05,0.675732218,4.81E-08,fathers,5.359885791,0.378419392,FALSE
english,319,8.57E-05,0.632936508,1.19E-10,english,5.343109282,0.378225989,FALSE
remain,251,6.75E-05,0.687671233,4.99E-06,remain,5.430770935,0.378103634,FALSE
endeavour,191,5.13E-05,0.760956175,0.004952798,endeavour,5.533333322,0.378071358,FALSE
difficulty,187,5.03E-05,0.736220472,0.001642427,difficulty,5.528235841,0.377940527,FALSE
g,903,0.000242711,0.413272311,3.45E-121,g,4.936639089,0.377791527,FALSE
convinced,158,4.25E-05,0.786069652,0.026503656,convinced,5.590691344,0.377770911,FALSE
bodies,272,7.31E-05,0.661800487,1.17E-07,bodies,5.394428159,0.377752751,FALSE
share,172,4.62E-05,0.754385965,0.00588972,share,5.55352989,0.377536853,FALSE
pieces,227,6.10E-05,0.669616519,2.86E-06,pieces,5.444419578,0.377507169,FALSE
myself,431,0.000115845,0.58401084,2.21E-19,myself,5.231414003,0.377489449,TRUE
dear,479,0.000128747,0.532814238,5.41E-30,dear,5.176929612,0.377475425,FALSE
ears,175,4.70E-05,0.77092511,0.01087725,ears,5.551491404,0.377271426,FALSE
advantages,154,4.14E-05,0.781725888,0.024832437,advantages,5.587683143,0.376968769,FALSE
behind,226,6.07E-05,0.678678679,6.91E-06,behind,5.441420421,0.376728059,FALSE
waters,191,5.13E-05,0.754940711,0.003742889,waters,5.516244431,0.376685162,FALSE
aid,340,9.14E-05,0.593368237,1.16E-14,aid,5.289112572,0.3763826,FALSE
mine,340,9.14E-05,0.610412926,4.25E-13,mine,5.296897843,0.376367026,FALSE
evident,185,4.97E-05,0.734126984,0.001562895,evident,5.511737685,0.376166598,FALSE
belt,156,4.19E-05,0.795918367,0.037489184,belt,5.580443065,0.376133005,FALSE
prove,335,9.00E-05,0.606884058,3.12E-13,prove,5.295658567,0.375998425,FALSE
herself,266,7.15E-05,0.631828979,3.63E-09,herself,5.366089585,0.375644573,TRUE
used,469,0.000126059,0.542824074,1.55E-27,used,5.169157763,0.375598648,FALSE
ts,197,5.30E-05,0.684027778,4.17E-05,ts,5.468822514,0.375587974,FALSE
vo,148,3.98E-05,0.766839378,0.017054675,vo,5.576699549,0.375496289,FALSE
said,1898,0.00051015,0.316544363,0,said,4.638863866,0.375445631,FALSE
march,240,6.45E-05,0.568720379,1.45E-12,march,5.363360501,0.375433956,FALSE
care,527,0.000141648,0.517681729,2.89E-36,care,5.121477713,0.375301462,FALSE
chosen,164,4.41E-05,0.738738739,0.003661043,chosen,5.536540507,0.375233449,FALSE
ly,267,7.18E-05,0.622377622,8.79E-10,ly,5.354237491,0.375035453,FALSE
intent,118,3.17E-05,0.77124183,0.038689491,intent,5.632431944,0.374717102,FALSE
kings,566,0.000152131,0.495621716,7.59E-45,kings,5.083604772,0.374650238,FALSE
confidence,185,4.97E-05,0.72265625,0.00083821,confidence,5.488492411,0.374359497,FALSE
required,239,6.42E-05,0.617571059,3.58E-09,required,5.374686704,0.37431055,FALSE
uncharitable,25,6.72E-06,2.272727273,0.028816338,uncharitable,6.343206111,0.374270521,FALSE
em,249,6.69E-05,0.620947631,2.69E-09,em,5.365014365,0.374249425,FALSE
io,490,0.000131704,0.472972973,3.41E-45,io,5.105984925,0.37422716,FALSE
knew,366,9.84E-05,0.557926829,8.87E-20,knew,5.227585835,0.373946392,FALSE
plainly,167,4.49E-05,0.752252252,0.006110053,plainly,5.522585084,0.37393304,FALSE
judge,339,9.11E-05,0.583476764,1.33E-15,judge,5.258203631,0.373697528,FALSE
country,725,0.000194867,0.450590429,1.73E-76,country,4.979106775,0.373500068,FALSE
lib,235,6.32E-05,0.673352436,2.73E-06,lib,5.394116343,0.373430467,FALSE
persons,593,0.000159388,0.45933385,2.16E-59,persons,5.037568068,0.373360373,FALSE
don,219,5.89E-05,0.655688623,1.15E-06,don,5.404771586,0.373357939,FALSE
lose,178,4.78E-05,0.726530612,0.001304215,lose,5.48916357,0.373333921,FALSE
w,823,0.000221208,0.398933592,1.41E-121,w,4.909540722,0.373291861,FALSE
follow,287,7.71E-05,0.613247863,4.64E-11,follow,5.311437395,0.373195045,FALSE
people,964,0.000259106,0.39379085,4.86E-147,people,4.861756765,0.37316711,FALSE
x,699,0.000187879,0.427522936,8.42E-86,x,4.968447796,0.372857775,FALSE
past,193,5.19E-05,0.720149254,0.000553421,past,5.459438373,0.372851273,FALSE
success,226,6.07E-05,0.686930091,1.42E-05,success,5.400831799,0.372601891,FALSE
break,219,5.89E-05,0.684375,1.57E-05,break,5.408938947,0.372588369,FALSE
content,212,5.70E-05,0.679487179,1.44E-05,content,5.415398956,0.372571368,FALSE
baron,135,3.63E-05,0.625,1.80E-05,baron,5.514808318,0.372549202,FALSE
absolutely,138,3.71E-05,0.775280899,0.028078718,absolutely,5.564520899,0.372333893,FALSE
wealth,166,4.46E-05,0.779342723,0.018014781,wealth,5.516217213,0.37229631,FALSE
loved,193,5.19E-05,0.699275362,0.000147287,loved,5.445944728,0.372287962,FALSE
ib,213,5.73E-05,0.613832853,1.64E-08,ib,5.383335387,0.372260504,FALSE
bis,133,3.57E-05,0.76,0.019331586,bis,5.567482245,0.372097978,TRUE
visit,157,4.22E-05,0.662447257,6.53E-05,visit,5.484859519,0.372049126,FALSE
comes,284,7.63E-05,0.577235772,7.68E-14,comes,5.285957397,0.372000894,FALSE
apply,139,3.74E-05,0.755434783,0.014228089,apply,5.551926761,0.3719998,FALSE
proposed,171,4.60E-05,0.686746988,0.000165076,proposed,5.468435055,0.37177116,FALSE
res,122,3.28E-05,0.75308642,0.020490421,res,5.583351113,0.371696475,FALSE
mal,158,4.25E-05,0.766990291,0.013647716,mal,5.51806974,0.371668644,FALSE
fruit,203,5.46E-05,0.67218543,1.22E-05,fruit,5.411983877,0.37139089,FALSE
vii,195,5.24E-05,0.652173913,3.31E-06,vii,5.412500731,0.371248821,FALSE
french,388,0.000104288,0.509186352,1.26E-28,french,5.159175661,0.37119682,FALSE
began,330,8.87E-05,0.563139932,2.23E-17,began,5.228169876,0.371008037,FALSE
looking,157,4.22E-05,0.737089202,0.004182723,looking,5.501774007,0.370959437,FALSE
run,277,7.45E-05,0.584388186,6.32E-13,run,5.284877831,0.370933256,FALSE
numerous,166,4.46E-05,0.764976959,0.010526488,numerous,5.495406283,0.37084944,FALSE
prince,499,0.000134123,0.468105066,1.83E-47,prince,5.06353669,0.370744111,FALSE
privilege,108,2.90E-05,0.744827586,0.023424915,privilege,5.603420897,0.370714876,FALSE
story,146,3.92E-05,0.760416667,0.01425538,story,5.52668424,0.370656459,FALSE
om,280,7.53E-05,0.582120582,3.05E-13,om,5.277937778,0.370638183,FALSE
unless,246,6.61E-05,0.557823129,9.22E-14,unless,5.300643978,0.370556167,FALSE
patience,150,4.03E-05,0.72815534,0.003497809,patience,5.504926409,0.370477464,FALSE
bottom,176,4.73E-05,0.736401674,0.002298835,bottom,5.463883236,0.370349001,FALSE
upper,161,4.33E-05,0.731818182,0.002914292,upper,5.486171901,0.370321232,FALSE
witness,156,4.19E-05,0.641975309,1.55E-05,witness,5.458904714,0.370298403,FALSE
bound,260,6.99E-05,0.60324826,8.03E-11,bound,5.303140949,0.370248148,FALSE
obey,141,3.79E-05,0.730569948,0.005183182,obey,5.518641686,0.370094036,FALSE
day,1135,0.000305068,0.366365397,1.20E-207,day,4.7683615,0.370030729,FALSE
drew,155,4.17E-05,0.738095238,0.00463877,drew,5.493356525,0.369906319,FALSE
public,545,0.000146487,0.487914056,1.84E-45,public,5.041866818,0.369834347,FALSE
david,199,5.35E-05,0.631746032,3.52E-07,david,5.383458613,0.369783397,FALSE
fault,145,3.90E-05,0.736040609,0.005739557,fault,5.509213271,0.369725092,FALSE
attended,220,5.91E-05,0.634005764,1.08E-07,attended,5.355987227,0.369710261,FALSE
secure,194,5.21E-05,0.734848485,0.001238707,secure,5.429166174,0.369666887,FALSE
silver,196,5.27E-05,0.690140845,6.85E-05,silver,5.409614563,0.369644816,FALSE
allowed,252,6.77E-05,0.626865672,4.87E-09,allowed,5.314342132,0.369495739,FALSE
open,390,0.000104825,0.542420028,3.29E-23,open,5.155773355,0.369321204,FALSE
centre,145,3.90E-05,0.697115385,0.000940334,centre,5.489690509,0.369309353,FALSE
ix,203,5.46E-05,0.6485623,1.46E-06,ix,5.379296054,0.369248081,FALSE
